# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
54,1629.22,1410.01,2.0,106.0,-14.9869,-11.93037,-19.32507,-0.09197938,-11.93037,-45.77871,-13.84835,19.0
55,1628.15,1408.32,2.0,108.0,-17.9173,-13.35965,-12.22052,-2.685882,-13.35965,-48.70911,-15.34946,11.0
56,1627.09,1406.63,2.0,110.0,-17.6114,-13.11278,-14.47092,-2.594716,-13.11278,-48.40321,-15.29043,11.0
57,1626.02,1404.94,2.0,112.0,-17.7213,-14.8185,-12.11924,0.2177208,-14.8185,-48.51311,-13.69462,11.0
58,1624.96,1403.25,2.0,114.0,-16.8623,-13.99369,-17.98339,0.2881584,-13.99369,-47.65411,-13.66042,11.0
59,1623.89,1401.56,2.0,116.0,-17.9908,-13.08612,-25.05377,-3.208989,-13.08612,-48.78261,-15.69649,19.0
60,1622.82,1399.87,2.0,118.0,-16.0208,-12.81572,-10.8041,-0.3811873,-12.81572,-46.81261,-13.99689,19.0
61,1621.75,1398.18,2.0,120.0,-12.5419,-10.73983,-12.55957,2.887968,-10.73983,-43.33371,-12.59389,19.0
62,1620.68,1396.49,2.0,122.0,-13.5361,-11.25189,-24.86955,1.59844,-11.25189,-44.32791,-13.07602,19.0
63,1619.61,1394.8,2.0,124.0,-17.6982,-12.88132,-11.9436,-3.078634,-12.88131,-48.49001,-15.6087,19.0
64,1618.54,1393.11,2.0,126.0,-17.3234,-14.46787,-14.8533,0.3152563,-14.46787,-48.11521,-13.64734,8.0
65,1617.47,1391.43,2.0,128.0,-17.0794,-13.65272,-11.89954,-0.7963044,-13.65272,-47.87121,-14.21849,8.0
